,觀測時間,溫度(°C),天氣,風向,風力 (m/s),陣風 (m/s),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,2024-05-08 20:00:00,24.476,多雲,東北東,2.92,10.86,-,46,-,0.0,-
1,2024-05-08 19:00:00,24.676,晴,東北東,4.03,11.76,-,55,-,0.0,-
2,2024-05-08 18:00:00,25.578,晴,東北,3.93,11.76,-,57,-,0.0,-
3,2024-05-08 17:00:00,26.680,晴,東北,3.73,10.45,-,56,-,0.0,-
4,2024-05-08 16:00:00,26.780,晴,東北,3.02,11.66,-,62,-,0.0,-
5,2024-05-08 15:00:00,27.782,晴,北北東,2.52,9.75,-,63,-,0.0,-
6,2024-05-08 14:00:00,27.982,晴,北北東,4.13,10.65,-,63,-,0.0,-
7,2024-05-08 13:00:00,28.884,晴,北北東,2.82,8.95,-,61,-,0.0,-
8,2024-05-08 12:00:00,27.982,陰,北,2.72,10.25,-,65,-,0.0,-
9,2024-05-08 11:00:00,29.485,陰,東,0.71,--,-,57,-,0.0,-
10,2024-05-08 10:00:00,27.481,陰,北北東,1.11,--,-,63,-,0.0,-
11,2024-05-08 09:00:00,26.480,多雲,東北,1.21,--,-,67,-,0.0,-
12,2024-05-08 08:00:00,24.676,陰,東,2.22,--,-,72,-,0.0,-
13,2024-05-08 07:00:00,24.075,陰,東,2.22,--,-,73,-,0.0,-
14,2024-05-08 06:00:00,23.574,陰,東,1.72,--,-,74,-,0.0,-
15,2024-05-08 05:00:00,23.574,陰,東南東,1.11,--,-,75,-,0.0,-
16,2024-05-08 04:00:00,23.674,陰,東,1.21,--,-,73,-,0.0,-
17,2024-05-08 03:00:00,23.674,陰,東,0.61,--,-,73,-,0.0,-
18,2024-05-08 02:00:00,23.574,陰,東,1.51,--,-,73,-,0.0,-
19,2024-05-08 01:00:00,24.175,陰,東,2.62,--,-,70,-,0.0,-
20,2024-05-08 00:00:00,24.476,陰,東北東,1.41,--,-,68,-,0.0,-
21,2024-05-07 23:00:00,24.676,陰,東,1.41,--,-,68,-,0.0,-
22,2024-05-07 22:00:00,25.077,陰,東北東,1.51,--,-,65,-,0.0,-
23,2024-05-07 21:00:00,25.578,陰,東北東,1.31,--,-,63,-,0.0,-
24,2024-05-07 20:00:00,25.979,陰,東北東,1.82,--,-,63,-,0.0,-
